New Images/New sign language/Yes.jpg,yes
New Images/New sign language/Yogurt.jpg,yogurt
Alphapet/Z.jpg,z
HANDSTALK APPLICATION BACK 2\New Images\Screenshots\zero.png,0
Alphapet/A.jpg,a
New Images/Screenshots/Afraid.png,afraid
New Images/Screenshots/Again.png,again
New Images/Screenshots/Ambulance.png,ambulance
New Images/Screenshots/Angry.png,angry
New Images/Screenshots/Animal.png,animal
New Images/Screenshots/Apple.png,apple
New Images/Screenshots/Aunt.png,aunt
Alphapet/B.jpg,b
New Images/Screenshots/Baby.png,baby
New Images/Screenshots/BAD.png,bad
New Images/Screenshots/Ball.png,ball
New Images/Screenshots/bandage.png,bandage
New Images/New sign language/Bathroom.png,bathroom
New Images/New sign language/Be careful.png,be careful
New Images/Screenshots/Bell.png,bell
New Images/Screenshots/Birthday.png,birthday
New Images/New sign language/Boy.jpg,boy
New Images/New sign language/Brother.jpg,brother
New Images/Screenshots/Butterfly.png,butterfly
New Images/New sign language/BYE-BYE.png,bye-bye
Alphapet/C.jpg,c
New Images/New sign language/Cake.png,cake
New Images/Screenshots/camera.png,camera
New Images/New sign language/Can.png,can
New Images/New sign language/Cat.jpg,cat
New Images/New sign language/CELEBRATE.png,celebrate
New Images/Screenshots/CHICKEN.png,chicken
New Images/New sign language/Children.png,children
